,X,Site,Elevation,Habitat,degree,species.strength,nestedrank,PDI,resource.range,PSI,betweenness,weighted.betweenness,closeness,weighted.closeness,effective.partners,proportional.similarity,d,Clase,Family,Genus,species,X.y,Fruit_Weight,Fruit_length,Fruit_Width,Seed_Weight,Seed_length,Seed_width,nFruits,nSeed,Plant_Heigth,rlq1,rlq2,rlq1W,rlq2W
102,Gue_hir,Cajanuma,3000,A_Nat,1,0.076923076923077,0.526315789473684,1,1,1,0,0,0.071599045346062,0.03947851634227,1,0.305882352941176,0.093015179917759,Plant,Rubiacea,Guettarda,hirsuta,102,0.329333333,8.066666667,7.5,0.115,4.75,3.9,20,1,7,-0.335937323722936,1.1978445546306,-1.55481738976786,1.00002818638163
103,Mic_305,Cajanuma,3000,A_Nat,3,0.648717948717949,0.157894736842105,0.916666666666667,0.833333333333333,1,0.128205128205128,0.018518518518519,0.075178997613365,0.067702319722893,2.74945927399721,0.458823529411765,0.238337778117705,Plant,Melastomataceae,Miconia,305,103,0.153666667,4.366666667,4.383333333,0.001,0.5,0.3,25,5,5.5,0.639549733976222,0.10790904543638,0.105295552884439,0.431549894397634
104,Mic_306,Cajanuma,3000,A_Nat,7,4.52667332667333,0,0.816666666666667,0.5,1,0.384615384615385,0.548148148148148,0.078758949880668,0.121480365382804,5.25997083007153,0.677205882352941,0.406280352814993,Plant,Melastomataceae,Miconia,306,104,0.0755,4.05,4.475,0.002,0.3,0.3,30,100,5,0.742505357857328,-0.25961603964628,0.260362762376866,0.054491171298723
105,Mic_307,Cajanuma,3000,A_Nat,1,0.090909090909091,0.789473684210526,1,1,1,0,0,0.044152744630072,0.02044438809471,1,0.129411764705882,0.264019575597192,Plant,Melastomataceae,Miconia,307,105,0.0036,1.22,1.4,0.001,0.8,0.5,10,5,5,1.43685616208841,-0.233184504570174,1.54371697503926,0.518267436768052
106,Mic_rad,Cajanuma,3000,A_Nat,2,2,0.263157894736842,0.958333333333333,0.916666666666667,1,0,0,0,NA,1.88988157484231,0.035294117647059,1,Plant,Melastomataceae,Miconia,cf radula,106,0.1928,6.18,6.28,0.002,0.82,0.18,100,200,4,0.337734087889456,-1.03903893390387,-0.608913058156246,-0.889351194330143
107,Net_dep,Cajanuma,3000,A_Nat,1,1,0.842105263157895,1,1,1,0,0,0,NA,1,0.011764705882353,1,Plant,Rubiacea,Nertera,cf depressa,107,0.156666667,5.366666667,5.5,0.006,2.1,1.5,50,2,1,0.876461811930902,-3.9705723344279,-0.023794391471937,-3.4506643883668
108,Pal_302,Cajanuma,3000,A_Nat,1,0.333333333333333,0.894736842105263,1,1,1,0,0,0.04653937947494,0.020426259619343,1,0.035294117647059,0.662805482941504,Plant,Rubiacea,Palicurea,302,108,0.1372,6.06,5.24,0.023,4.575,3.375,100,2,4,0.486343543284995,-1.02962043731962,-0.307367078504009,-0.790999318773297
109,Sch_300,Cajanuma,3000,A_Nat,3,0.783916083916084,0.105263157894737,0.972222222222222,0.833333333333333,1,0.333333333333333,0.155555555555556,0.078758949880668,0.042579878531819,2.08677944009772,0.313235294117647,0.511049285647451,Plant,Araliaceae,Schefflera,300,132,5.166666667,20.46,21.46666667,0.0492,6.74,3.84,200,75,6,-5.15642835146843,-0.170876302660764,-12.0372410882364,0.51949722370992
110,Sch_302,Cajanuma,3000,A_Nat,1,0.038461538461539,0.947368421052632,1,1,1,0,0,0.071599045346062,0.021814123376623,1,0.305882352941176,0,Plant,Araliaceae,Schefflera,302,110,0.392,8.9,9.8,0.0352,4.36,3.52,340,13,3,-0.354440930257581,-1.83430432801995,-2.04269214687722,-2.02031351576862
111,Sym_sul,Cajanuma,3000,A_Nat,1,0.2,1,1,1,1,0,0,0.028639618138425,NA,1,0.058823529411765,0.506018961178035,Plant,Symplocaceae,Symplocos,sulcinervius,111,0.673333333,10.16666667,9.4,0.236,7,5,50,1,6,-0.838345755841894,0.393321635242609,-2.67942933171759,0.161716677654732
112,All_300,Bellavista,3000,B_Dis,2,0.525,0.363636363636364,0.966666666666667,0.933333333333333,1,0.015522875816994,0.041431261770245,0.050734312416555,0.025461778914464,1.88988157484231,0.173333333333333,0.445044463063955,Plant,Sapindaceae,Allophylus,300,112,0.0436,4.02,3.693333333,0.01,3.1,2.4,120,1,5,0.578062381247079,0.387124910488081,1.01767542365611,0.071295140159093
